2016.03.28 20:30:09.025186 info        702 Filelog create new file
2016.03.28 20:30:09.028809 info        702 main ./onewire.pl 75->> start up ./onewire.pl with PID 702
2016.03.28 20:30:09.034139 info        702 main ./onewire.pl 83->> build onewire modul
2016.03.28 20:30:09.041965 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 56->> onewired load new config complete
2016.03.28 20:30:09.050621 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 79->> wire modules loaded
2016.03.28 20:30:09.060101 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 35->> onewire build complete
2016.03.28 20:30:09.065919 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 56->> onewired load new config complete
2016.03.28 20:30:09.075987 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 105->> check for new devices
2016.03.28 20:30:09.081555 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913432ff
2016.03.28 20:30:09.091830 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913432ff in devices list
2016.03.28 20:30:09.103036 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0315911b36ff
2016.03.28 20:30:09.110437 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0315911b36ff in devices list
2016.03.28 20:30:09.120307 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591355eff
2016.03.28 20:30:09.130278 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591355eff in devices list
2016.03.28 20:30:09.135706 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591363eff
2016.03.28 20:30:09.145195 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-011591363eff in devices list
2016.03.28 20:30:09.153339 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-0115913679ff
2016.03.28 20:30:09.165470 info        702 Raspberry::onewire modul/Raspberry/onewire.pm 119->> add device id 28-0115913679ff in devices list
2016.03.28 20:30:09.170779 debug       702 Raspberry::onewire modul/Raspberry/onewire.pm 110->> found device: 28-011591382fff
